tags: ἕρμαιον ἕρμαιον-2 conjugaison

παιδεύω (1a)|j'éduque|indicatif imperfectif présent|voix active|παιδεύω|[παιδεύ<span class="désinence">-ω</span>]|παιδεύεις|[παιδεύ<span class="désinence">-εις</span>]|παιδεύει|[παιδεύ<span class="désinence">-ει</span>]|παιδεύομεν|[παιδεύ-ο<span class="désinence">-μεν</span>]|παιδεύετε|[παιδεύ-ε<span class="désinence">-τε</span>]|παιδεύουσῐ(ν)|[*παιδεύ-ο<span class="désinence">-ντῐ</span>]

λύω (1a)|je délie|indicatif imperfectif présent|voix active|λύω|[λύ<span class="désinence">-ω</span>]|λύεις|[λύ<span class="désinence">-εις</span>]|λύει|[λύ<span class="désinence">-ει</span>]|λύομεν|[λύ-ο<span class="désinence">-μεν</span>]|λύετε|[λύ-ε<span class="désinence">-τε</span>]|λύουσῐ(ν)|[*λύ-ο<span class="désinence">-ντῐ</span>]

εἰμι (1a)|je suis|indicatif imperfectif présent|voix active|εἰμι||εἶ||ἐστι(ν)||ἐσμεν||ἐστε||εἰσι(ν)|
