tags: ἕρμαιον ἕρμαιον-8 déclinaison

 αὐτός|pronom personnel de la 3<sup>ème</sup> personne (M)||αὐτός|||αὐ<span class="désinence">τόν</span>||αὐ<span class="désinence">τοῦ</span>||αὐ<span class="désinence">τῷ</span>||αὐτ<span class="désinence">οί</span>|||αὐ<span class="désinence">τούς</span>||αὐ<span class="désinence">τῶν</span>||αὐ<span class="désinence">τοῖς</span>

 αὐτό|pronom personnel de la 3<sup>ème</sup> personne (N)||αὐ<span class="désinence">τό</span>|||αὐ<span class="désinence">τό</span>||αὐ<span class="désinence">τοῦ</span>||αὐ<span class="désinence">τῷ</span>||αὐ<span class="désinence">τά</span>|||αὐ<span class="désinence">τά</span>||αὐ<span class="désinence">τῶν</span>||αὐ<span class="désinence">τοῖς</span>

 αὐτή|pronom personnel de la 3<sup>ème</sup> personne (F)||αὐτ<span class="désinence">ή</span>|||αὐ<span class="désinence">τήν</span>||αὐ<span class="désinence">τῆς</span>||αὐ<span class="désinence">τῇ</span>||αὐτ<span class="désinence">αί</span>|||αὐ<span class="désinence">τάς</span>||αὐ<span class="désinence">τῶν</span>||αὐ<span class="désinence">ταῖς</span>


 ὅδε|celui-ci (M)||<span class="désinence">ὅ</span>δε|||<span class="désinence">τόν</span>δε||<span class="désinence">τοῦ</span>δε||<span class="désinence">τῷ</span>δε||<span class="désinence">οἵ</span>δε|||<span class="désinence">τούσ</span>δε||<span class="désinence">τῶν</span>δε||<span class="désinence">τοῖσ</span>δε

 τόδε|ceci (N)||<span class="désinence">τό</span>δε|||<span class="désinence">τό</span>δε||<span class="désinence">τοῦ</span>δε||<span class="désinence">τῷ</span>δε||<span class="désinence">τά</span>δε|||<span class="désinence">τά</span>δε||<span class="désinence">τῶν</span>δε||<span class="désinence">τοῖσ</span>δε

 ἥδε|celle-ci (F)||<span class="désinence">ἥ</span>δε|||<span class="désinence">τήν</span>δε||<span class="désinence">τῆσ</span>δε||<span class="désinence">τῇ</span>δε||<span class="désinence">αἵ</span>δε|||<span class="désinence">τάσ</span>δε||<span class="désinence">τῶν</span>δε||<span class="désinence">ταῖσ</span>δε


 οὗτος|ce, cet (M)||οὗτος|||τοῦ<span class="désinence">τον</span>||τού<span class="désinence">του</span>||τού<span class="désinence">τῳ</span>||οὗτ<span class="désinence">οι</span>|||τού<span class="désinence">τους</span>||τού<span class="désinence">των</span>||τού<span class="désinence">τοις</span>

 τοῦτο|ce, cet (N)||τοῦ<span class="désinence">το</span>|||τοῦ<span class="désinence">το</span>||τού<span class="désinence">του</span>||τού<span class="désinence">τῳ</span>||τ<span style="font-weight: bold">αῦ</span><span class="désinence">τα</span>|||τ<span style="font-weight: bold">αῦ</span><span class="désinence">τα</span>||τού<span class="désinence">των</span>||τού<span class="désinence">τοις</span>

 αὕτη|cette (F)||αὕτ<span class="désinence">η</span>|||ταύ<span class="désinence">την</span>||ταύ<span class="désinence">της</span>||ταύ<span class="désinence">τῃ</span>||αὗτ<span class="désinence">αι</span>|||ταύ<span class="désinence">τας</span>||τ<span style="font-weight: bold">ού</span><span class="désinence">των</span>||ταύ<span class="désinence">ταις</span>
