tags: ἕρμαιον ἕρμαιον-8 conjugaison

ὤν (7a/M)|[en] étant (A)|participe imperfectif masculin|voix active|ὤν||||ὄ-ντ<span class="désinence">-ᾰ</span>||ὄ-ντ<span class="désinence">-ος</span>||ὄ-ντ<span class="désinence">-ῐ</span>||ὄ-ντ<span class="désinence">-ες</span>||||ὄ-ντ<span class="désinence">-ᾰs</span>||ὄ-ντ<span class="désinence">-ων</span>||οὖσῐ|[*ὄ-ντ<span class="désinence">-σῐ</span>]

ὄν (7a/N)|[en] étant (A)|participe imperfectif neutre|voix active|ὄν|[*ὄ-ντ]|||ὄν||ὄ-ντ<span class="désinence">-ος</span>||ὄ-ντ<span class="désinence">-ῐ</span>||ὄ-ντ<span class="désinence">-ᾰ</span>||||ὄ-ντ<span class="désinence">-ᾰ</span>||ὄ-ντ<span class="désinence">-ων</span>||οὖσῐ|[*ὄ-ντ<span class="désinence">-σῐ</span>]

οὖσᾰ (7a/F)|[en] étant (A)|participe imperfectif féminin|voix active|οὖσ<span class="désinence">-ᾰ</span>|[*ὄ-ντ-yᾰ]|||οὖσ<span class="désinence">-ᾰν</span>||οὔσ<span class="désinence">-ης</span>||οὔσ<span class="désinence">-ῃ</span>||οὖσ<span class="désinence">-αι</span>||||οὔσ<span class="désinence">-ᾱς</span>||οὐσ<span class="désinence">-ῶν</span>||οὔσ<span class="désinence">-αις</span>|


παιδεύων (7a/M)|[en] éduquant (A)|participe imperfectif masculin|voix active|παιδεύ<span class="désinence">-ων</span>||||παιδεύ<span class="désinence">-οντ-ᾰ</span>||παιδεύ<span class="désinence">-οντ-ος</span>||παιδεύ<span class="désinence">-οντ-ῐ</span>||παιδεύ<span class="désinence">-οντ-ες</span>||||παιδεύ<span class="désinence">-οντ-ᾰs</span>||παιδευ<span class="désinence">-όντ-ων</span>||παιδεύ<span class="désinence">-ουσῐ</span>|[*ο-ντ<span class="désinence">-σῐ</span>]

παιδεῦον (7a/N)|[en] éduquant (A)|participe imperfectif neutre|voix active|παιδεῦ<span class="désinence">-ον</span>|[*ο-ντ]|||παιδεῦ<span class="désinence">-ον</span>||παιδεύ<span class="désinence">-οντ-ος</span>||παιδεύ<span class="désinence">-οντ-ῐ</span>||παιδεύ<span class="désinence">-οντ-ᾰ</span>||||παιδεύ<span class="désinence">-οντ-ᾰ</span>||παιδευ<span class="désinence">-όντ-ων</span>||παιδεύ<span class="désinence">-ουσῐ</span>|[*ο-ντ<span class="désinence">-σῐ</span>]

παιδεύουσᾰ (7a/F)|[en] éduquant (A)|participe imperfectif féminin|voix active|παιδεύ<span class="désinence">-ουσᾰ</span>|[*ο-ντ-yᾰ]|||παιδεύ<span class="désinence">-ουσᾰν</span>||παιδευ<span class="désinence">-ούσης</span>||παιδευ<span class="désinence">-ούσῃ</span>||παιδεύ<span class="désinence">-ουσαι</span>||||παιδευ<span class="désinence">-ούσᾱς</span>||παιδευ<span class="désinence">-ουσῶν</span>||παιδευ<span class="désinence">-ούσαις</span>|


τιμῶν (7a/M)|[en] honorant (A)|participe imperfectif masculin|voix active|τιμ<span class="désinence">-ῶν</span>|[*τιμά<span class="désinence">-ων</span>]|||τιμ<span class="désinence">-ῶντ-ᾰ</span>|[*τιμά<span class="désinence">-οντ-ᾰ</span>]|τιμ<span class="désinence">-ῶντ-ος</span>|[*τιμά<span class="désinence">-οντ-ος</span>]|τιμ<span class="désinence">-ῶντ-ῐ</span>|[*τιμά<span class="désinence">-οντ-ῐ</span>]|τιμ<span class="désinence">-ῶντ-ες</span>|[*τιμά<span class="désinence">-οντ-ες</span>]|||τιμ<span class="désinence">-ῶντ-ᾰs</span>|[*τιμά<span class="désinence">-οντ-ᾰs</span>]|τιμ<span class="désinence">-ώντ-ων</span>|[*τιμα<span class="désinence">-όντ-ων</span>]|τιμ<span class="désinence">-ῶσῐ</span>|[*τιμά<span class="désinence">-ουσῐ</span>]

τιμῶν (7a/N)|[en] honorant (A)|participe imperfectif neutre|voix active|τιμ<span class="désinence">-ῶν</span>|[*τιμά<span class="désinence">-ον</span>]|||τιμ<span class="désinence">-ῶν</span>|[*τιμά<span class="désinence">-ον</span>]|τιμ<span class="désinence">-ῶντ-ος</span>|[*τιμά<span class="désinence">-οντ-ος</span>]|τιμ<span class="désinence">-ῶντ-ῐ</span>|[*τιμά<span class="désinence">-οντ-ῐ</span>]|τιμ<span class="désinence">-ῶντ-ᾰ</span>|[*τιμά<span class="désinence">-οντ-ᾰ</span>]|||τιμ<span class="désinence">-ῶντ-ᾰ</span>|[*τιμά<span class="désinence">-οντ-ᾰ</span>]|τιμ<span class="désinence">-ώντ-ων</span>|[*τιμα<span class="désinence">-όντ-ων</span>]|τιμ<span class="désinence">-ῶσῐ</span>|[*τιμά<span class="désinence">-ουσῐ</span>]

τιμῶσᾰ (7a/F)|[en] honorant (A)|participe imperfectif féminin|voix active|τιμ<span class="désinence">-ῶσᾰ</span>|[*τιμά<span class="désinence">-ουσᾰ</span>]|||τιμ<span class="désinence">-ῶσᾰν</span>|[*τιμά<span class="désinence">-ουσᾰν</span>]|τιμ<span class="désinence">-ώσης</span>|[*τιμα<span class="désinence">-ούσης</span>]|τιμ<span class="désinence">-ώσῃ</span>|[*τιμα<span class="désinence">-ούσῃ</span>]|τιμ<span class="désinence">-ῶσαι</span>|[*τιμά<span class="désinence">-ουσαι</span>]|||τιμ<span class="désinence">-ώσᾱς</span>|[*τιμα<span class="désinence">-ούσᾱς</span>]|τιμ<span class="désinence">-ωσῶν</span>|[*τιμα<span class="désinence">-ουσῶν</span>]|τιμ<span class="désinence">-ώσαις</span>|[*τιμα<span class="désinence">-ούσαις</span>]


ποιῶν (7a/M)|[en] faisant (A)|participe imperfectif masculin|voix active|ποι<span class="désinence">-ῶν</span>|[*ποιέ<span class="désinence">-ων</span>]|||ποι<span class="désinence">-οῦντ-ᾰ</span>|[*ποιέ<span class="désinence">-οντ-ᾰ</span>]|ποι<span class="désinence">-οῦντ-ος</span>|[*ποιέ<span class="désinence">-οντ-ος</span>]|ποι<span class="désinence">-οῦντ-ῐ</span>|[*ποιέ<span class="désinence">-οντ-ῐ</span>]|ποι<span class="désinence">-οῦντ-ες</span>|[*ποιέ<span class="désinence">-οντ-ες</span>]|||ποι<span class="désinence">-οῦντ-ᾰs</span>|[*ποιέ<span class="désinence">-οντ-ᾰs</span>]|ποι<span class="désinence">-ούντ-ων</span>|[*ποιε<span class="désinence">-όντ-ων</span>]|ποι<span class="désinence">-οῦσῐ</span>|[*ποιέ<span class="désinence">-ουσῐ</span>]

ποιοῦν (7a/N)|[en] faisant (A)|participe imperfectif neutre|voix active|ποι<span class="désinence">-οῦν</span>|[*ποιέ<span class="désinence">-ον</span>]|||ποι<span class="désinence">-οῦν</span>|[*ποιέ<span class="désinence">-ον</span>]|ποι<span class="désinence">-οῦντ-ος</span>|[*ποιέ<span class="désinence">-οντ-ος</span>]|ποι<span class="désinence">-οῦντ-ῐ</span>|[*ποιέ<span class="désinence">-οντ-ῐ</span>]|ποι<span class="désinence">-οῦντ-ᾰ</span>|[*ποιέ<span class="désinence">-οντ-ᾰ</span>]|||ποι<span class="désinence">-οῦντ-ᾰ</span>|[*ποιέ<span class="désinence">-οντ-ᾰ</span>]|ποι<span class="désinence">-ούντ-ων</span>|[*ποιε<span class="désinence">-όντ-ων</span>]|ποι<span class="désinence">-οῦσῐ</span>|[*ποιέ<span class="désinence">-ουσῐ</span>]

ποιοῦσᾰ (7a/F)|[en] faisant (A)|participe imperfectif féminin|voix active|ποι<span class="désinence">-οῦσᾰ</span>|[*ποιέ<span class="désinence">-ουσᾰ</span>]|||ποι<span class="désinence">-οῦσᾰν</span>|[*ποιέ<span class="désinence">-ουσᾰν</span>]|ποι<span class="désinence">-ούσης</span>|[*ποιε<span class="désinence">-ούσης</span>]|ποι<span class="désinence">-ούσῃ</span>|[*ποιε<span class="désinence">-ούσῃ</span>]|ποι<span class="désinence">-οῦσαι</span>|[*ποιέ<span class="désinence">-ουσαι</span>]|||ποι<span class="désinence">-ούσᾱς</span>|[*ποιε<span class="désinence">-ούσᾱς</span>]|ποι<span class="désinence">-ουσῶν</span>|[*ποιε<span class="désinence">-ουσῶν</span>]|ποι<span class="désinence">-ούσαις</span>|[*ποιε<span class="désinence">-ούσαις</span>]


δηλῶν (7a/M)|[en] montrant (A)|participe imperfectif masculin|voix active|δηλ<span class="désinence">-ῶν</span>|[*δηλό<span class="désinence">-ων</span>]|||δηλ<span class="désinence">-οῦντ-ᾰ</span>|[*δηλό<span class="désinence">-οντ-ᾰ</span>]|δηλ<span class="désinence">-οῦντ-ος</span>|[*δηλό<span class="désinence">-οντ-ος</span>]|δηλ<span class="désinence">-οῦντ-ῐ</span>|[*δηλό<span class="désinence">-οντ-ῐ</span>]|δηλ<span class="désinence">-οῦντ-ες</span>|[*δηλό<span class="désinence">-οντ-ες</span>]|||δηλ<span class="désinence">-οῦντ-ᾰs</span>|[*δηλό<span class="désinence">-οντ-ᾰs</span>]|δηλ<span class="désinence">-ούντ-ων</span>|[*δηλο<span class="désinence">-όντ-ων</span>]|δηλ<span class="désinence">-οῦσῐ</span>|[*δηλό<span class="désinence">-ουσῐ</span>]

