tags: ἕρμαιον ἕρμαιον-5 conjugaison

ποιούμενος (7mp/M)|[en] faisant (M), [en] étant fait (P)|participe imperfectif masculin|voix médio-passive|ποιούμενος|[*ποιε-ό<span class="désinence">-μενος</span>]|ποιούμενε|[*ποιε-ό<span class="désinence">-μενε</span>]|ποιούμενον|[*ποιε-ό<span class="désinence">-μενον</span>]|ποιουμένου|[*ποιε-ο<span class="désinence">-μένου</span>]|ποιουμένῳ|[*ποιε-ο<span class="désinence">-μένῳ</span>]|ποιούμενοι|[*ποιε-ό<span class="désinence">-μενοι</span>]|ποιούμενοι|[*ποιε-ό<span class="désinence">-μενοι</span>]|ποιουμένους|[*ποιε-ο<span class="désinence">-μένους</span>]|ποιουμένων|[*ποιε-ο<span class="désinence">-μένων</span>]|ποιουμένοις|[*ποιε-ο<span class="désinence">-μένοις</span>]

ποιούμενον (7mp/N)|[en] faisant (M), [en] étant fait (P)|participe imperfectif neutre|voix médio-passive|ποιούμενον|[*ποιε-ό<span class="désinence">-μενον</span>]|ποιούμενον|[*ποιε-ό<span class="désinence">-μενον</span>]|ποιούμενον|[*ποιε-ό<span class="désinence">-μενον</span>]|ποιουμένου|[*ποιε-ο<span class="désinence">-μένου</span>]|ποιουμένῳ|[*ποιε-ο<span class="désinence">-μένῳ</span>]|ποιούμενᾰ|[*ποιε-ό<span class="désinence">-μενᾰ</span>]|ποιούμενᾰ|[*ποιε-ό<span class="désinence">-μενᾰ</span>]|ποιούμενᾰ|[*ποιε-ό<span class="désinence">-μενᾰ</span>]|ποιουμένων|[*ποιε-ο<span class="désinence">-μένων</span>]|ποιουμένοις|[*ποιε-ο<span class="désinence">-μένοις</span>]

ποιουμένη (7mp/F)|[en] faisant (M), [en] étant faite (P)|participe imperfectif féminin|voix médio-passive|ποιουμένη|[*ποιε-ο<span class="désinence">-μένη</span>]|ποιουμένη|[*ποιε-ο<span class="désinence">-μένη</span>]|ποιουμένην|[*ποιε-ο<span class="désinence">-μένην</span>]|ποιουμένης|[*ποιε-ο<span class="désinence">-μένης</span>]|ποιουμένῃ|[*ποιε-ο<span class="désinence">-μένῃ</span>]|ποιούμεναι|[*ποιε-ό<span class="désinence">-μεναι</span>]|ποιούμεναι|[*ποιε-ό<span class="désinence">-μεναι</span>]|ποιουμένᾱς|[*ποιε-ο<span class="désinence">-μένᾱς</span>]|ποιουμένων|[*ποιε-ο<span class="désinence">-μένων</span>]|ποιουμέναις|[*ποιε-ο<span class="désinence">-μέναις</span>]


δηλούμενος (7mp/M)|[en] montrant (M), [en] étant montré (P)|participe imperfectif masculin|voix médio-passive|δηλούμενος|[*δηλο-ό<span class="désinence">-μενος</span>]|δηλούμενε|[*δηλο-ό<span class="désinence">-μενε</span>]|δηλούμενον|[*δηλο-ό<span class="désinence">-μενον</span>]|δηλουμένου|[*δηλο-ο<span class="désinence">-μένου</span>]|δηλουμένῳ|[*δηλο-ο<span class="désinence">-μένῳ</span>]|δηλούμενοι|[*δηλο-ό<span class="désinence">-μενοι</span>]|δηλούμενοι|[*δηλο-ό<span class="désinence">-μενοι</span>]|δηλουμένους|[*δηλο-ο<span class="désinence">-μένους</span>]|δηλουμένων|[*δηλο-ο<span class="désinence">-μένων</span>]|δηλουμένοις|[*δηλο-ο<span class="désinence">-μένοις</span>]

δηλούμενον (7mp/N)|[en] montrant (M), [en] étant montré (P)|participe imperfectif neutre|voix médio-passive|δηλούμενον|[*δηλο-ό<span class="désinence">-μενον</span>]|δηλούμενον|[*δηλο-ό<span class="désinence">-μενον</span>]|δηλούμενον|[*δηλο-ό<span class="désinence">-μενον</span>]|δηλουμένου|[*δηλο-ο<span class="désinence">-μένου</span>]|δηλουμένῳ|[*δηλο-ο<span class="désinence">-μένῳ</span>]|δηλούμενᾰ|[*δηλο-ό<span class="désinence">-μενᾰ</span>]|δηλούμενᾰ|[*δηλο-ό<span class="désinence">-μενᾰ</span>]|δηλούμενᾰ|[*δηλο-ό<span class="désinence">-μενᾰ</span>]|δηλουμένων|[*δηλο-ο<span class="désinence">-μένων</span>]|δηλουμένοις|[*δηλο-ο<span class="désinence">-μένοις</span>]

δηλουμένη (7mp/F)|[en] montrant (M), [en] étant montrée (P)|participe imperfectif féminin|voix médio-passive|δηλουμένη|[*δηλο-ο<span class="désinence">-μένη</span>]|δηλουμένη|[*δηλο-ο<span class="désinence">-μένη</span>]|δηλουμένην|[*δηλο-ο<span class="désinence">-μένην</span>]|δηλουμένης|[*δηλο-ο<span class="désinence">-μένης</span>]|δηλουμένῃ|[*δηλο-ο<span class="désinence">-μένῃ</span>]|δηλούμεναι|[*δηλο-ό<span class="désinence">-μεναι</span>]|δηλούμεναι|[*δηλο-ό<span class="désinence">-μεναι</span>]|δηλουμένᾱς|[*δηλο-ο<span class="désinence">-μένᾱς</span>]|δηλουμένων|[*δηλο-ο<span class="désinence">-μένων</span>]|δηλουμέναις|[*δηλο-ο<span class="désinence">-μέναις</span>]
