tags: ἕρμαιον ἕρμαιον-9 conjugaison

διψῶ (1a)|j'ai soif|indicatif imperfectif présent|voix active|διψ-ῶ|[*διψή<span class="désinence">-ω</span>]|διψ-ῇς|[*διψή<span class="désinence">-εις</span>]|διψ-ῇ|[*διψή<span class="désinence">-ει</span>]|διψ-ῶμεν|[*διψή-ο<span class="désinence">-μεν</span>]|διψ-ῆτε|[*διψή-ε<span class="désinence">-τε</span>]|διψ-ῶσι(ν)|[*διψή-ουσῐ(ν)]

ζῶ (1a)|je vis|indicatif imperfectif présent|voix active|ζ-ῶ|[*ζή<span class="désinence">-ω</span>]|ζ-ῇς|[*ζή<span class="désinence">-εις</span>]|ζ-ῇ|[*ζή<span class="désinence">-ει</span>]|ζ-ῶμεν|[*ζή-ο<span class="désinence">-μεν</span>]|ζ-ῆτε|[*ζή-ε<span class="désinence">-τε</span>]|ζ-ῶσι(ν)|[*ζή-ουσῐ(ν)]

χρῶμαι (1m)|je me sers de|indicatif imperfectif présent|voix moyenne|χρ-ῶμαι|[*χρή-ο<span class="désinence">-μαι</span>]|χρ-ῇ|[*χρή-ει (-ε<span class="désinence">-σαι</span>)]|χρ-ῆται|[*χρή-ε<span class="désinence">-ται</span>]|χρ-ώμεθα|[*χρη-ό<span class="désinence">-μεθᾰ</span>]|χρ-ῆσθε|[*χρή-ε<span class="désinence">-σθε</span>]|χρ-ῶνται|[*χρή-ο<span class="désinence">-νται</span>]
