tags: ἕρμαιον ἕρμαιον-9 conjugaison

διψῶν (7a/M)|[en] ayant soif|participe imperfectif masculin|voix active|διψ<span class="désinence">-ῶν</span>|[*διψή<span class="désinence">-ων</span>]|||διψ<span class="désinence">-ῶντ-ᾰ</span>|[*διψή<span class="désinence">-οντ-ᾰ</span>]|διψ<span class="désinence">-ῶντ-ος</span>|[*διψή<span class="désinence">-οντ-ος</span>]|διψ<span class="désinence">-ῶντ-ῐ</span>|[*διψή<span class="désinence">-οντ-ῐ</span>]|διψ<span class="désinence">-ῶντ-ες</span>|[*διψή<span class="désinence">-οντ-ες</span>]|||διψ<span class="désinence">-ῶντ-ᾰs</span>|[*διψή<span class="désinence">-οντ-ᾰs</span>]|διψ<span class="désinence">-ώντ-ων</span>|[*διψη<span class="désinence">-όντ-ων</span>]|διψ<span class="désinence">-ῶσῐ</span>|[*διψή<span class="désinence">-ουσῐ</span>]

διψῶν (7a/N)|[en] ayant soif|participe imperfectif neutre|voix active|διψ<span class="désinence">-ῶν</span>|[*διψή<span class="désinence">-ον</span>]|||διψ<span class="désinence">-ῶν</span>|[*διψή<span class="désinence">-ον</span>]|διψ<span class="désinence">-ῶντ-ος</span>|[*διψή<span class="désinence">-οντ-ος</span>]|διψ<span class="désinence">-ῶντ-ῐ</span>|[*διψή<span class="désinence">-οντ-ῐ</span>]|διψ<span class="désinence">-ῶντ-ᾰ</span>|[*διψή<span class="désinence">-οντ-ᾰ</span>]|||διψ<span class="désinence">-ῶντ-ᾰ</span>|[*διψή<span class="désinence">-οντ-ᾰ</span>]|διψ<span class="désinence">-ώντ-ων</span>|[*διψη<span class="désinence">-όντ-ων</span>]|διψ<span class="désinence">-ῶσῐ</span>|[*διψή<span class="désinence">-ουσῐ</span>]

διψῶσᾰ (7a/F)|[en] ayant soif|participe imperfectif féminin|voix active|διψ<span class="désinence">-ῶσᾰ</span>|[*διψή<span class="désinence">-ουσᾰ</span>]|||διψ<span class="désinence">-ῶσᾰν</span>|[*διψή<span class="désinence">-ουσᾰν</span>]|διψ<span class="désinence">-ώσης</span>|[*διψη<span class="désinence">-ούσης</span>]|διψ<span class="désinence">-ώσῃ</span>|[*διψη<span class="désinence">-ούσῃ</span>]|διψ<span class="désinence">-ῶσαι</span>|[*διψή<span class="désinence">-ουσαι</span>]|||διψ<span class="désinence">-ώσᾱς</span>|[*διψη<span class="désinence">-ούσᾱς</span>]|διψ<span class="désinence">-ωσῶν</span>|[*διψη<span class="désinence">-ουσῶν</span>]|διψ<span class="désinence">-ώσαις</span>|[*διψη<span class="désinence">-ούσαις</span>]


ζῶν (7a/M)|[en] vivant|participe imperfectif masculin|voix active|ζ<span class="désinence">-ῶν</span>|[*ζή<span class="désinence">-ων</span>]|||ζ<span class="désinence">-ῶντ-ᾰ</span>|[*ζή<span class="désinence">-οντ-ᾰ</span>]|ζ<span class="désinence">-ῶντ-ος</span>|[*ζή<span class="désinence">-οντ-ος</span>]|ζ<span class="désinence">-ῶντ-ῐ</span>|[*ζή<span class="désinence">-οντ-ῐ</span>]|ζ<span class="désinence">-ῶντ-ες</span>|[*ζή<span class="désinence">-οντ-ες</span>]|||ζ<span class="désinence">-ῶντ-ᾰs</span>|[*ζή<span class="désinence">-οντ-ᾰs</span>]|ζ<span class="désinence">-ώντ-ων</span>|[*ζη<span class="désinence">-όντ-ων</span>]|ζ<span class="désinence">-ῶσῐ</span>|[*ζή<span class="désinence">-ουσῐ</span>]

ζῶν (7a/N)|[en] vivant|participe imperfectif neutre|voix active|ζ<span class="désinence">-ῶν</span>|[*ζή<span class="désinence">-ον</span>]|||ζ<span class="désinence">-ῶν</span>|[*ζή<span class="désinence">-ον</span>]|ζ<span class="désinence">-ῶντ-ος</span>|[*ζή<span class="désinence">-οντ-ος</span>]|ζ<span class="désinence">-ῶντ-ῐ</span>|[*ζή<span class="désinence">-οντ-ῐ</span>]|ζ<span class="désinence">-ῶντ-ᾰ</span>|[*ζή<span class="désinence">-οντ-ᾰ</span>]|||ζ<span class="désinence">-ῶντ-ᾰ</span>|[*ζή<span class="désinence">-οντ-ᾰ</span>]|ζ<span class="désinence">-ώντ-ων</span>|[*ζη<span class="désinence">-όντ-ων</span>]|ζ<span class="désinence">-ῶσῐ</span>|[*ζή<span class="désinence">-ουσῐ</span>]

