tags: ἕρμαιον ἕρμαιον-9 déclinaison

 οὐδείς|personne, aucun (M)||οὐδείς|||οὐδέν<span class="désinence">-ᾰ</span>||οὐδεν<span class="désinence">-ός</span>||οὐδεν<span class="désinence">-ί</span>|||||||||

 οὐδέν|aucun (N)||οὐδέν|||οὐδέν||οὐδεν<span class="désinence">-ός</span>||οὐδεν<span class="désinence">-ί</span>|||||||||

 οὐδεμίᾰ|aucune (F)||οὐδεμί<span class="désinence">-ᾰ</span>|||οὐδεμί<span class="désinence">-ᾰν</span>||οὐδεμι<span class="désinence">-ᾶς</span>||οὐδεμι<span class="désinence">-ᾷ</span>|||||||||


 μηδείς|personne, aucun (M)||μηδείς|||μηδέν<span class="désinence">-ᾰ</span>||μηδεν<span class="désinence">-ός</span>||μηδεν<span class="désinence">-ί</span>|||||||||

 μηδέν|aucun (N)||μηδέν|||μηδέν||μηδεν<span class="désinence">-ός</span>||μηδεν<span class="désinence">-ί</span>|||||||||

 μηδεμίᾰ|aucune (F)||μηδεμί<span class="désinence">-ᾰ</span>|||μηδεμί<span class="désinence">-ᾰν</span>||μηδεμι<span class="désinence">-ᾶς</span>||μηδεμι<span class="désinence">-ᾷ</span>|||||||||


 πολύς|abondant, nombreux (M)||πολύς|||πολύν||πολλ<span class="désinence">οῦ</span>||πολλ<span class="désinence">ῷ</span>||πολλ<span class="désinence">οί</span>|||πολλ<span class="désinence">ούς</span>||πολλ<span class="désinence">ῶν</span>||πολλ<span class="désinence">οῖς</span>

 πολύ|abondant, nombreux (N)||πολύ|||πολύ||πολλ<span class="désinence">οῦ</span>||πολλ<span class="désinence">ῷ</span>||πολλ<span class="désinence">ά</span>|||πολλ<span class="désinence">ά</span>||πολλ<span class="désinence">ῶν</span>||πολλ<span class="désinence">οῖς</span>

 πολλή|abondante, nombreuse (F)||πολλ<span class="désinence">ή</span>|||πολλ<span class="désinence">ήν</span>||πολλ<span class="désinence">ῆς</span>||πολλ<span class="désinence">ῇ</span>||πολλ<span class="désinence">αί</span>|||πολλ<span class="désinence">άς</span>||πολλ<span class="désinence">ῶν</span>||πολλ<span class="désinence">αῖς</span>


 μέγας|grand (M)||μέγας|μεγάλ<span class="désinence">ε</span>||μέγαν||μεγάλ<span class="désinence">ου</span>||μεγάλ<span class="désinence">ῳ</span>||μεγάλ<span class="désinence">οι</span>|μεγάλ<span class="désinence">οι</span>||μεγάλ<span class="désinence">ους</span>||μεγάλ<span class="désinence">ων</span>||μεγάλ<span class="désinence">οις</span>

 μέγα|grand (N)||μέγα|μέγα||μέγα||μεγάλ<span class="désinence">ου</span>||μεγάλ<span class="désinence">ῳ</span>||μεγάλ<span class="désinence">α</span>|μεγάλ<span class="désinence">α</span>||μεγάλ<span class="désinence">α</span>||μεγάλ<span class="désinence">ων</span>||μεγάλ<span class="désinence">οις</span>

 μεγάλη|grande (F)||μεγάλ<span class="désinence">η</span>|μεγάλ<span class="désinence">η</span>||μεγάλ<span class="désinence">ην</span>||μεγάλ<span class="désinence">ης</span>||μεγάλ<span class="désinence">ῃ</span>||μεγάλ<span class="désinence">αι</span>|μεγάλ<span class="désinence">αι</span>||μεγάλ<span class="désinence">ᾱς</span>||μεγάλ<span class="désinence">ων</span>||μεγάλ<span class="désinence">αις
