tags: ἕρμαιον ἕρμαιον-12 conjugaison

παιδεύσας (17a/M)|[en] ayant éduqué|participe aoriste masculin|voix active|παιδεύ<span class="désinence">-σᾱς</span>|[*σᾰ-ντ-ς]|||παιδεύ<span class="désinence">-σαντ-ᾰ</span>||παιδεύ<span class="désinence">-σαντ-ος</span>||παιδεύ<span class="désinence">-σαντ-ῐ</span>||παιδεύ<span class="désinence">-σαντ-ες</span>||||παιδεύ<span class="désinence">-σαντ-ᾰs</span>||παιδευ<span class="désinence">-σάντ-ων</span>||παιδεύ<span class="désinence">-σᾱσῐ</span>|[*σᾰ-ντ-σῐ]

παιδεῦσαν (17a/N)|[en] ayant éduqué|participe aoriste neutre|voix active|παιδεῦ<span class="désinence">-σᾰν</span>|[*σᾰ-ντ]|||παιδεῦ<span class="désinence">-σᾰν</span>||παιδεύ<span class="désinence">-σαντ-ος</span>||παιδεύ<span class="désinence">-σαντ-ῐ</span>||παιδεύ<span class="désinence">-σαντ-ᾰ</span>||||παιδεύ<span class="désinence">-σαντ-ᾰ</span>||παιδευ<span class="désinence">-σάντ-ων</span>||παιδεύ<span class="désinence">-σᾱσῐ</span>|[*σᾰ-ντ-σῐ]

παιδεύσασα (17a/F)|[en] ayant éduqué|participe aoriste féminin|voix active|παιδεύ<span class="désinence">-σᾱσᾰ</span>|[*σᾰ-ντ-yᾰ]|||παιδεύ<span class="désinence">-σᾱσᾰν</span>||παιδευ<span class="désinence">-σάσης</span>||παιδευ<span class="désinence">-σάσῃ</span>||παιδεύ<span class="désinence">-σᾱσαι</span>||||παιδευ<span class="désinence">-σάσᾱς</span>||παιδευ<span class="désinence">-σᾱσῶν</span>||παιδευ<span class="désinence">-σάσαις</span>|


τιμήσας (17a/M)|[en] ayant honoré|participe aoriste masculin|voix active|τιμή<span class="désinence">-σᾱς</span>|[*σᾰ-ντ-ς]|||τιμή<span class="désinence">-σαντ-ᾰ</span>||τιμή<span class="désinence">-σαντ-ος</span>||τιμή<span class="désinence">-σαντ-ῐ</span>||τιμή<span class="désinence">-σαντ-ες</span>||||τιμή<span class="désinence">-σαντ-ᾰs</span>||τιμη<span class="désinence">-σάντ-ων</span>||τιμή<span class="désinence">-σᾱσῐ</span>|[*σᾰ-ντ-σῐ]

τιμῆσαν (17a/N)|[en] ayant honoré|participe aoriste neutre|voix active|τιμῆ<span class="désinence">-σᾰν</span>|[*σᾰ-ντ]|||τιμῆ<span class="désinence">-σᾰν</span>||τιμή<span class="désinence">-σαντ-ος</span>||τιμή<span class="désinence">-σαντ-ῐ</span>||τιμή<span class="désinence">-σαντ-ᾰ</span>||||τιμή<span class="désinence">-σαντ-ᾰ</span>||τιμη<span class="désinence">-σάντ-ων</span>||τιμή<span class="désinence">-σᾱσῐ</span>|[*σᾰ-ντ-σῐ]
