tags: ἕρμαιον ἕρμαιον-7 déclinaison

 τις|quelqu'un, un (M), quelqu'une, une (F)||τις|||τιν<span class="désinence">-ᾰ</span>||τιν<span class="désinence">-oς</span> (του)||τιν<span class="désinence">-ῐ</span> (τῳ)||τιν<span class="désinence">-ες</span>|||τιν<span class="désinence">-ᾰς</span>||τιν<span class="désinence">-ων</span>||τι<span class="désinence">-σῐ</span>

 τι|quelque (N)||τι|||τι||τιν<span class="désinence">-oς</span> (του)||τιν<span class="désinence">-ῐ</span> (τῳ)||τιν<span class="désinence">-ᾰ</span>|||τιν<span class="désinence">-ᾰ</span>||τιν<span class="désinence">-ων</span>||τι<span class="désinence">-σῐ</span>


 εἷς|un (M)||εἷς|||ἕν<span class="désinence">-ᾰ</span>||ἑν<span class="désinence">-ός</span>||ἑν<span class="désinence">-ί</span>|||||||||

 μίᾰ|une (F)||μί<span class="désinence">-ᾰ</span>|||μί<span class="désinence">-ᾰν</span>||μι<span class="désinence">-ᾶς</span>||μι<span class="désinence">-ᾷ</span>|||||||||

 ἕν|un (N)||ἕν|||ἕν||ἑν<span class="désinence">-ός</span>||ἑν<span class="désinence">-ί</span>|||||||||


 ὁ πατήρ|le père|ὁ|πατήρ|π<span style="font-weight: bold">ά</span>τερ|τὸν|πατέρ<span class="désinence">-ᾰ</span>|τοῦ|πατρ<span class="désinence">-ός</span>|τῷ|πατρ<span class="désinence">-ί</span>|οἱ|πατέρ<span class="désinence">-ες</span>|πατέρ<span class="désinence">-ες</span>|τοὺς|πατέρ<span class="désinence">-ᾰς</span>|τῶν|πατέρ<span class="désinence">-ων</span>|τοῖς|πατρ<span style="font-weight: bold">ά</span><span class="désinence">-σῐ</span>

 ἡ μήτηρ|la mère|ἡ|μήτηρ|μ<span style="font-weight: bold">ῆ</span>τερ|τὴν|μητέρ<span class="désinence">-ᾰ</span>|τῆς|μητρ<span class="désinence">-ός</span>|τῇ|μητρ<span class="désinence">-ί</span>|αἱ|μητέρ<span class="désinence">-ες</span>|μητέρ<span class="désinence">-ες</span>|τὰς|μητέρ<span class="désinence">-ᾰς</span>|τῶν|μητέρ<span class="désinence">-ων</span>|ταῖς|μητρ<span style="font-weight: bold">ά</span><span class="désinence">-σῐ</span>

 ἡ θυγάτηρ|la fille – filiation|ἡ|θυγάτηρ|θ<span style="font-weight: bold">ύ</span>γατερ|τὴν|θυγατέρ<span class="désinence">-ᾰ</span>|τῆς|θυγατρ<span class="désinence">-ός</span>|τῇ|θυγατρ<span class="désinence">-ί</span>|αἱ|θυγατέρ<span class="désinence">-ες</span>|θυγατέρ<span class="désinence">-ες</span>|τὰς|θυγατέρ<span class="désinence">-ᾰς</span>|τῶν|θυγατέρ<span class="désinence">-ων</span>|ταῖς|θυγατρ<span style="font-weight: bold">ά</span><span class="désinence">-σῐ</span>
